名字,期刊,ISSN,EISSN,最新IF ,5年IF,JCR分区,中科院分区,中科院预警,,,,,,
Sex Education-Sexuality Society and Learning,SEX EDUC-SEX SOC LEA,1468-1811,1472-0825,1.4,2.4,Q3,,,,,,,,
Small-Scale Forestry,SMALL-SCALE FOR,1873-7617,1873-7854,1.4,1.7,Q2,,,,,,,,
Spirituality in Clinical Practice,SPIRITUAL CLIN PRACT,2326-4500,2326-4519,1.4,1.4,Q3,,,,,,,,
Zeitschrift fur Vergleichende Politikwissenschaft,Z VGL POLITIKWISSENS,1865-2646,1865-2654,1.4,1,Q2,,,,,,,,
Asian and Pacific Migration Journal,ASIAN PAC MIGR J,0117-1968,2057-049X,1.4,1.5,Q3,,,,,,,,
CZECH JOURNAL OF ANIMAL SCIENCE,CZECH J ANIM SCI,1212-1819,1805-9309,1.4,1.2,Q3,,,,,,,,
Evolutionary Psychological Science,EVOL PSYCHOL SCI,N/A,2198-9885,1.4,1.4,Q3,,,,,,,,
Focus on Health Professional Education-A Multidisciplinary Journal,FOCUS HEALTH PROF ED,1442-1100,2204-7662,1.4,1.3,Q3,,,,,,,,
JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,J AGR BIOL ENVIR ST,1085-7117,1537-2693,1.4,1.7,Q2,,,,,,,,
Journal of Applied Economics,J APPL ECON,1514-0326,1667-6726,1.4,1.9,Q3,,,,,,,,
Journal of Child Sexual Abuse,J CHILD SEX ABUS,1053-8712,1547-0679,1.4,2.4,Q3,,,,,,,,
Journal of Craniovertebral Junction and Spine,J CRANIOVERTEBRAL JU,0974-8237,0976-9285,1.4,1.4,Q2,,,,,,,,
JOURNAL OF WOMEN AND MINORITIES IN SCIENCE AND ENGINEERING,J WOMEN MINOR SCI EN,1072-8325,1940-431X,1.4,N/A,Q2,,,,,,,,
Paediatrics and International Child Health,PAEDIATR INT CHILD H,2046-9047,2046-9055,1.4,1.7,Q3,,,,,,,,
RESEARCH QUARTERLY FOR EXERCISE AND SPORT,RES Q EXERCISE SPORT,0270-1367,2168-3824,1.4,2.3,Q3,,,,,,,,
Applied Animal Science,APPL ANIM SCI,2590-2873,2590-2865,1.4,1.5,Q3,,,,,,,,
Clinical Optometry,CLIN OPTOM,1179-2752,1179-2752,1.4,2.1,Q3,,,,,,,,
COUNSELOR EDUCATION AND SUPERVISION,COUNS EDUC SUPERV,0011-0035,1556-6978,1.4,1.9,Q3,,,,,,,,
Distinktion-Journal of Social Theory,DISTINKTION,1600-910X,2159-9149,1.4,1.3,Q2,,,,,,,,
Journal of International Society of Preventive and Community Dentistry,J INT SOC PREV COMMU,2231-0762,2250-1002,1.4,1.4,Q3,,,,,,,,
JOURNAL OF THE OPTICAL SOCIETY OF AMERICA A-OPTICS IMAGE SCIENCE AND VISION,J OPT SOC AM A,1084-7529,1520-8532,1.4,1.5,Q3,,,,,,,,
MEASUREMENT AND EVALUATION IN COUNSELING AND DEVELOPMENT,MEAS EVAL COUNS DEV,0748-1756,1947-6302,1.4,1.9,Q3,,,,,,,,
Pediatric Reports,PEDIATRIC REP,2036-7503,2036-7503,1.4,1.2,Q3,,,,,,,,
RADIOPROTECTION,RADIOPROTECTION,0033-8451,1769-700X,1.4,1.1,Q3,,,,,,,,
CANADIAN GEOGRAPHIES-GEOGRAPHIES CANADIENNES,CAN GEOGR-GEOGR CAN,0008-3658,1541-0064,1.4,1.6,Q2,,,,,,,,
JOURNAL OF HOUSING ECONOMICS,J HOUS ECON,1051-1377,1096-0791,1.4,2,Q3,,,,,,,,
Journal of Korean Neurosurgical Society,J KOREAN NEUROSURG S,2005-3711,1598-7876,1.4,1.7,Q3,,,,,,,,
JOURNAL OF MOLECULAR SPECTROSCOPY,J MOL SPECTROSC,0022-2852,1096-083X,1.4,1.2,Q3,,,,,,,,
MATHEMATICS OF OPERATIONS RESEARCH,MATH OPER RES,0364-765X,1526-5471,1.4,1.8,Q3,,,,,,,,
NORTH AMERICAN JOURNAL OF AQUACULTURE,N AM J AQUACULT,1522-2055,1548-8454,1.4,1.6,Q3,,,,,,,,
Ship Technology Research,SHIP TECHNOL RES,0937-7255,2056-7111,1.4,1.7,Q3,,,,,,,,
Acta Polytechnica Hungarica,ACTA POLYTECH HUNG,1785-8860,1785-8860,1.4,1.1,Q2,,,,,,,,
Advances in Fuzzy Systems,ADV FUZZY SYST,1687-7101,1687-711X,1.4,1.3,Q2,,,,,,,,
AERONAUTICAL JOURNAL,AERONAUT J,0001-9240,2059-6464,1.4,1.3,Q2,,,,,,,,
ANNALS OF VASCULAR SURGERY,ANN VASC SURG,0890-5096,1615-5947,1.4,1.4,Q3,,,,,,,,
BIOMETRICS,BIOMETRICS,0006-341X,1541-0420,1.4,2.2,Q2,,,,,,,,
EXPERIMENTAL PARASITOLOGY,EXP PARASITOL,0014-4894,1090-2449,1.4,1.6,Q3,,,,,,,,
International Review of Applied Economics,INT REV APPL ECON,0269-2171,1465-3486,1.4,1.9,Q3,,,,,,,,
JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR,J THEOR SOC BEHAV,0021-8308,1468-5914,1.4,1.7,Q4,,,,,,,,
Journal of Behavioral Science,J BEHAV SCI,1906-4675,1906-4675,1.4,1.6,Q2,,,,,,,,
JOURNAL OF CANCER EDUCATION,J CANCER EDUC,0885-8195,1543-0154,1.4,1.9,Q3,,,,,,,,
JOURNAL OF EDUCATIONAL MEASUREMENT,J EDUC MEAS,0022-0655,1745-3984,1.4,1.4,Q4,,,,,,,,
Journal of Urban Design,J URBAN DES,1357-4809,1469-9664,1.4,2.3,Q3,,,,,,,,
Scandinavian Journal of Urology,SCAND J UROL,2168-1805,2168-1813,1.4,1.7,Q3,,,,,,,,
Value in Health Regional Issues,VALUE HEALTH REG ISS,2212-1099,2212-1099,1.4,N/A,Q4,,,,,,,,
Australian Health Review,AUST HEALTH REV,0156-5788,1449-8944,1.4,1.7,Q4,,,,,,,,
CHINESE JOURNAL OF PHYSIOLOGY,CHINESE J PHYSIOL,0304-4920,2666-0059,1.4,1.4,Q4,,,,,,,,
Diagnostic and Interventional Radiology,DIAGN INTERV RADIOL,1305-3612,1305-3612,1.4,2.2,Q3,,,,,,,,
DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,DISCRETE EVENT DYN S,0924-6703,1573-7594,1.4,1.4,Q3,,,,,,,,
International Journal of Aeronautical and Space Sciences,INT J AERONAUT SPACE,2093-274X,2093-2480,1.4,1.4,Q2,,,,,,,,
INTERNATIONAL JOURNAL OF NONLINEAR SCIENCES AND NUMERICAL SIMULATION,INT J NONLIN SCI NUM,1565-1339,2191-0294,1.4,1.5,Q2,,,,,,,,
LIMNOLOGY,LIMNOLOGY,1439-8621,1439-863X,1.4,1.7,Q3,,,,,,,,
Surgical Infections,SURG INFECT,1096-2964,1557-8674,1.4,2.6,Q3,,,,,,,,
Central European Forestry Journal,CENT EURO FOR J,2454-034X,2454-0358,1.4,1.6,Q2,,,,,,,,
CRYPTOGAMIE ALGOLOGIE,CRYPTOGAMIE ALGOL,0181-1568,1776-0984,1.4,1.3,Q3,,,,,,,,
ENVIRONMENTAL BIOLOGY OF FISHES,ENVIRON BIOL FISH,0378-1909,1573-5133,1.4,1.5,Q3,,,,,,,,
Global Pediatric Health,GLOBAL PEDIATR HLTH,N/A,2333-794X,1.4,N/A,Q3,,,,,,,,
International Journal of Computational Methods,INT J COMP METH-SING,0219-8762,1793-6969,1.4,1.3,Q3,,,,,,,,
Journal of Education and Health Promotion,J EDUC HEALTH PROMOT,2277-9531,2319-6440,1.4,1.6,Q3,,,,,,,,
Orthopedic Reviews,ORTHOP REV,2035-8237,2035-8164,1.4,1.6,Q3,,,,,,,,
Pleura and Peritoneum,PLEURA PERITONEUM,2364-7671,2364-768X,1.4,2.1,Q3,,,,,,,,
Public Library Quarterly,PUBLIC LIBR Q,0161-6846,1541-1540,1.4,1.3,Q2,,,,,,,,
CHINESE ECONOMY,CHIN ECON,1097-1475,1558-0954,1.4,1.3,Q3,,,,,,,,
JOURNAL OF AGING AND PHYSICAL ACTIVITY,J AGING PHYS ACTIV,1063-8652,1543-267X,1.4,1.8,Q3,,,,,,,,
JOURNAL OF THE AMERICAN HELICOPTER SOCIETY,J AM HELICOPTER SOC,0002-8711,2161-6027,1.4,1.2,Q2,,,,,,,,
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS,NUCL INSTRUM METH B,0168-583X,1872-9584,1.4,1.3,Q3,,,,,,,,
SYDOWIA,SYDOWIA,0082-0598,N/A,1.4,1.4,Q4,,,,,,,,
TOXICOLOGIC PATHOLOGY,TOXICOL PATHOL,0192-6233,1533-1601,1.4,1.9,Q4,,,,,,,,
Archivio Italiano di Urologia e Andrologia,ARCH ITAL UROL ANDRO,1124-3562,2282-4197,1.4,1.2,Q3,,,,,,,,
BIOLOGICAL AGRICULTURE & HORTICULTURE,BIOL AGRIC HORTIC,0144-8765,2165-0616,1.4,1.8,Q3,,,,,,,,
BMJ Innovations,BMJ INNOV,2055-8074,2055-642X,1.4,N/A,Q3,,,,,,,,
Chinese Journal of Sociology,CHINESE J SOCIOL,2057-150X,2057-1518,1.4,N/A,Q2,,,,,,,,
GEOGRAFISKA ANNALER SERIES A-PHYSICAL GEOGRAPHY,GEOGR ANN A,0435-3676,1468-0459,1.4,1.4,Q2,,,,,,,,
International Journal of Occupational Medicine and Environmental Health,INT J OCCUP MED ENV,1232-1087,1896-494X,1.4,1.8,Q3,,,,,,,,
JOURNAL OF ANIMAL AND FEED SCIENCES,J ANIM FEED SCI,1230-1388,1230-1388,1.4,1.3,Q3,,,,,,,,
JOURNAL OF COMPUTATIONAL BIOLOGY,J COMPUT BIOL,1066-5277,1557-8666,1.4,1.8,Q2,,,,,,,,
JSLS-Journal of the Society of Laparoendoscopic Surgeons,JSLS-J SOC LAPAROEND,1086-8089,N/A,1.4,2,Q3,,,,,,,,
Mathematics in Engineering,MATH ENG-US,N/A,2640-3501,1.4,1.4,Q3,,,,,,,,
North American Actuarial Journal,N AM ACTUAR J,1092-0277,2325-0453,1.4,1.4,Q3,,,,,,,,
World Journal of Engineering,WORLD J ENG,1708-5284,1708-5284,1.4,1.4,Q2,,,,,,,,
Zeitschrift fur Evidenz Fortbildung und Qualitaet im Gesundheitswesen,Z EVIDENZ FORTBILD Q,1865-9217,2212-0289,1.4,1.1,Q4,,,,,,,,
FISHERIES SCIENCE,FISHERIES SCI,0919-9268,1444-2906,1.4,1.8,Q3,,,,,,,,
JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING,J WATERW PORT COAST,0733-950X,1943-5460,1.4,1.9,Q4,,,,,,,,
Management Research-The Journal of the Iberoamerican Academy of Management,MANAG RES,1536-5433,1558-0946,1.4,1.9,Q3,,,,,,,,
Applied Neuropsychology-Adult,APPL NEUROPSYCH-ADUL,2327-9095,2327-9109,1.4,1.6,Q3,,,,,,,,
Australian Journal of Career Development,AUST J CAREER DEV,1038-4162,2200-6974,1.4,1.4,Q3,,,,,,,,
BMJ Military Health,BMJ MILITARY HEALTH,2633-3767,2633-3775,1.4,1.5,Q2,,,,,,,,
Chemical Biology Letters,CHEM BIOL LETT,N/A,2347-9825,1.4,N/A,Q4,,,,,,,,
INTERNATIONAL JOURNAL OF MODERN PHYSICS A,INT J MOD PHYS A,0217-751X,1793-656X,1.4,1.3,Q3,,,,,,,,
NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,NEW ZEAL J MAR FRESH,0028-8330,1175-8805,1.4,1.8,Q3,,,,,,,,
Pharmaceutical Sciences,PHARM SCI-IRAN,1735-403X,2383-2886,1.4,1.2,Q4,,,,,,,,
PSYCHOLOGISCHE RUNDSCHAU,PSYCHOL RUNDSCH,0033-3042,2190-6238,1.4,0.9,Q3,,,,,,,,
Scientia Iranica,SCI IRAN,1026-3098,N/A,1.4,1.2,Q2,,,,,,,,
EXPERIMENTAL AGING RESEARCH,EXP AGING RES,0361-073X,1096-4657,1.4,1.8,Q3,,,,,,,,
INTERNATIONAL JOURNAL OF MENTAL HEALTH,INT J MENT HEALTH,0020-7411,1557-9328,1.4,1.4,Q3,,,,,,,,
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,J LIBR INF SCI,0961-0006,1741-6477,1.4,1.9,Q2,,,,,,,,
Sexual & Reproductive Healthcare,SEX REPROD HEALTHC,1877-5756,1877-5764,1.4,2,Q3,,,,,,,,
SIAM Journal on Financial Mathematics,SIAM J FINANC MATH,1945-497X,1945-497X,1.4,1.6,Q3,,,,,,,,
Tourism Analysis,TOUR ANAL,1083-5423,1943-3999,1.4,1.9,Q3,,,,,,,,
Current Genetic Medicine Reports,CURR GENET MED REP,N/A,2167-4876,1.4,1.9,Q4,,,,,,,,
Ingegneria Sismica,ING SISMICA-ITAL,0393-1420,N/A,1.4,1.1,Q3,,,,,,,,
JMIR Research Protocols,JMIR RES PROTOC,1929-0748,1929-0748,1.4,1.5,Q3,,,,,,,,
JOURNAL OF ENGINEERING MATHEMATICS,J ENG MATH,0022-0833,1573-2703,1.4,1.3,Q3,,,,,,,,
JOURNAL OF RADIOLOGICAL PROTECTION,J RADIOL PROT,0952-4746,1361-6498,1.4,1.3,Q3,,,,,,,,
MARRIAGE AND FAMILY REVIEW,MARRIAGE FAM REV,0149-4929,1540-9635,1.4,1.5,Q3,,,,,,,,
Minerva Cardiology and Angiology,MINERVA CARDIOL ANGI,2724-5683,2724-5772,1.4,1,Q3,,,,,,,,
OR SPECTRUM,OR SPECTRUM,0171-6468,1436-6304,1.4,2.3,Q3,,,,,,,,
PERCEPTUAL AND MOTOR SKILLS,PERCEPT MOTOR SKILL,0031-5125,1558-688X,1.4,1.9,Q4,,,,,,,,
PSYCHOLOGICAL STUDIES,PSYCHOL STUD,0033-2968,0974-9861,1.4,1.5,Q3,,,,,,,,
REVIEWS IN MATHEMATICAL PHYSICS,REV MATH PHYS,0129-055X,1793-6659,1.4,1.2,Q2,,,,,,,,
SEMINARS IN DIALYSIS,SEMIN DIALYSIS,0894-0959,1525-139X,1.4,2.2,Q3,,,,,,,,
AGRICULTURAL RESEARCH,AGR RES,2249-720X,2249-7218,1.4,1.5,Q3,,,,,,,,
Applied Neuropsychology-Child,APPL NEUROPSYCH-CHIL,2162-2965,2162-2973,1.4,1.5,Q3,,,,,,,,
COLLEGE & RESEARCH LIBRARIES,COLL RES LIBR,0010-0870,2150-6701,1.4,1.6,Q2,,,,,,,,
Dendrobiology,DENDROBIOLOGY,1641-1307,2083-8387,1.4,1.2,Q2,,,,,,,,
International Journal of Burns and Trauma,INT J BURNS TRAUMA,2160-2026,2160-2026,1.4,1.2,Q3,,,,,,,,
JOURNAL OF ECONOMIC THEORY,J ECON THEORY,0022-0531,1095-7235,1.4,1.7,Q3,,,,,,,,
Journal of Parasitology Research,J PARASITOL RES,2090-0023,2090-0031,1.4,N/A,Q3,,,,,,,,
Pain Management,PAIN MANAG,1758-1869,1758-1877,1.4,2.2,Q4,,,,,,,,
Skin Appendage Disorders,SKIN APPENDAGE DISOR,2296-9195,2296-9160,1.4,1.7,Q3,,,,,,,,
Acta Geodaetica et Geophysica,ACTA GEOD GEOPHYS,2213-5812,2213-5820,1.4,1.5,Q3,,,,,,,,
ACTA OCEANOLOGICA SINICA,ACTA OCEANOL SIN,0253-505X,1869-1099,1.4,1.6,Q3,,,,,,,,
GEOLOGICAL JOURNAL,GEOL J,0072-1050,1099-1034,1.4,1.7,Q3,,,,,,,,
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES,J ENVIRON SCI HEAL B,0360-1234,1532-4109,1.4,2.2,Q3,,,,,,,,
Journal of Management Accounting Research,J MANAG ACCOUNT RES,1049-2127,1558-8033,1.4,2.2,Q3,,,,,,,,
Journal of Ocean University of China,J OCEAN U CHINA,1672-5182,1993-5021,1.4,1.4,Q3,,,,,,,,
JOURNAL OF STRAIN ANALYSIS FOR ENGINEERING DESIGN,J STRAIN ANAL ENG,0309-3247,2041-3130,1.4,1.8,Q3,,,,,,,,
MINERALOGY AND PETROLOGY,MINER PETROL,0930-0708,1438-1168,1.4,1.6,Q3,,,,,,,,
SADHANA-ACADEMY PROCEEDINGS IN ENGINEERING SCIENCES,SADHANA-ACAD P ENG S,0256-2499,0973-7677,1.4,1.4,Q2,,,,,,,,
World Journal of Radiology,WORLD J RADIOL,1949-8470,1949-8470,1.4,1.8,Q3,,,,,,,,
WOUNDS-A COMPENDIUM OF CLINICAL RESEARCH AND PRACTICE,WOUNDS,1044-7946,1943-2704,1.4,1.5,Q3,,,,,,,,
ANNALES HENRI POINCARE,ANN HENRI POINCARE,1424-0637,1424-0661,1.4,1.4,Q3,,,,,,,,
Hungarian Geographical Bulletin,HUNG GEOGR BULL,2064-5031,2064-5147,1.4,N/A,Q3,,,,,,,,
KOREAN JOURNAL OF PARASITOLOGY,KOREAN J PARASITOL,0023-4001,1738-0006,1.4,1.3,Q3,,,,,,,,
TECHNOLOGY AND HEALTH CARE,TECHNOL HEALTH CARE,0928-7329,1878-7401,1.4,1.3,Q3,,,,,,,,
THEORETICAL ISSUES IN ERGONOMICS SCIENCE,THEOR ISS ERGON SCI,1463-922X,1464-536X,1.4,2,Q4,,,,,,,,
Womens Studies in Communication,WOMEN STUD COMMUN,0749-1409,2152-999X,1.4,2.4,Q2,,,,,,,,
ZEITSCHRIFT FUR GEOMORPHOLOGIE,Z GEOMORPHOL,0372-8854,1864-1687,1.4,1.1,Q3,,,,,,,,
Advances in Mental Health,ADV MENT HEALTH,1838-7357,1837-4905,1.4,1.4,Q3,,,,,,,,
African Journal of Economic and Management Studies,AFR J ECON MANAG STU,2040-0705,2040-0713,1.4,1.7,Q3,,,,,,,,
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,AFR J RANGE FOR SCI,1022-0119,1727-9380,1.4,1.8,Q4,,,,,,,,
Asia-Pacific Journal of Public Health,ASIA-PAC J PUBLIC HE,1010-5395,1941-2479,1.4,1.6,Q3,,,,,,,,
BIOLOGIA,BIOLOGIA,0006-3088,1336-9563,1.4,1.4,Q3,,,,,,,,
BUILDING ACOUSTICS,BUILD ACOUST,1351-010X,2059-8025,1.4,1.9,Q3,,,,,,,,
Central European Journal of Urology,CENT EUR J UROL,2080-4806,2080-4873,1.4,1.4,Q3,,,,,,,,
Current Emergency and Hospital Medicine Reports,CURR EMERG HOSP ME R,2167-4884,2167-4884,1.4,0.9,Q3,,,,,,,,
Decisions in Economics and Finance,DECIS ECON FINANC,1593-8883,1129-6569,1.4,1.1,Q3,,,,,,,,
IEEE Computer Architecture Letters,IEEE COMPUT ARCHIT L,1556-6056,1556-6064,1.4,1.7,Q4,,,,,,,,
Journal of the Asia Pacific Economy,J ASIA PAC ECON,1354-7860,1469-9648,1.4,1.8,Q3,,,,,,,,
LASER PHYSICS LETTERS,LASER PHYS LETT,1612-2011,1612-202X,1.4,1.3,Q4,,,,,,,,
SPE Production & Operations,SPE PROD OPER,1930-1855,1930-1863,1.4,1.4,Q2,,,,,,,,
Techniques in Vascular and Interventional Radiology,TECH VASC INTERV RAD,1089-2516,1557-9808,1.4,1.8,Q3,,,,,,,,
ACTA BIOTHEORETICA,ACTA BIOTHEOR,0001-5342,1572-8358,1.4,1.2,Q4,,,,,,,,
Acta Geochimica,ACTA GEOCHIM,2096-0956,2365-7499,1.4,1.6,Q3,,,,,,,,
AFRICAN JOURNAL OF MARINE SCIENCE,AFR J MAR SCI,1814-232X,1814-2338,1.4,1.3,Q3,,,,,,,,
Cancer Genetics,CANCER GENET-NY,2210-7762,2210-7770,1.4,1.7,Q4,,,,,,,,
E & M Ekonomie a Management,E M EKON MANAG,1212-3609,2336-5064,1.4,1.1,Q3,,,,,,,,
FARMACIA,FARMACIA,0014-8237,2065-0019,1.4,1,Q4,,,,,,,,
Gynecology and Minimally Invasive Therapy-GMIT,GYNECOL MINIM INVASI,2213-3070,2213-3089,1.4,1.6,Q3,,,,,,,,
Health Promotion Journal of Australia,HEALTH PROMOT J AUST,1036-1073,2201-1617,1.4,1.8,Q3,,,,,,,,
HEART AND VESSELS,HEART VESSELS,0910-8327,1615-2573,1.4,1.4,Q3,,,,,,,,
International Journal of Asia Pacific Studies,INT J ASIA PAC STUD,1823-6243,1823-6243,1.4,0.9,Q2,,,,,,,,
Periodica Polytechnica-Civil Engineering,PERIOD POLYTECH-CIV,0553-6626,1587-3773,1.4,1.5,Q3,,,,,,,,
Proceedings of the ACM on Computer Graphics and Interactive Techniques,P ACM COMPUT GRAPH,N/A,2577-6193,1.4,2.5,Q3,,,,,,,,
AUSTRALASIAN JOURNAL ON AGEING,AUSTRALAS J AGEING,1440-6381,1741-6612,1.4,1.6,Q3,,,,,,,,
Cardiology Research,CARDIOL RES,1923-2829,1923-2837,1.4,1.3,Q3,,,,,,,,
FORMAL ASPECTS OF COMPUTING,FORM ASP COMPUT,0934-5043,1433-299X,1.4,1.3,Q3,,,,,,,,
International Aquatic Research,INT AQUAT RES,2008-4935,2008-6970,1.4,2,Q3,,,,,,,,
JETP LETTERS,JETP LETT+,0021-3640,1090-6487,1.4,1.1,Q3,,,,,,,,
JOURNAL OF CARDIOVASCULAR SURGERY,J CARDIOVASC SURG,0021-9509,1827-191X,1.4,1.5,Q3,,,,,,,,
JOURNAL OF ENGINEERING FOR GAS TURBINES AND POWER-TRANSACTIONS OF THE ASME,J ENG GAS TURB POWER,0742-4795,1528-8919,1.4,1.5,Q3,,,,,,,,
Medical Mycology Journal,MED MYCOL J,2185-6486,2186-165X,1.4,N/A,Q4,,,,,,,,
Notulae Botanicae Horti Agrobotanici Cluj-Napoca,NOT BOT HORTI AGROBO,0255-965X,1842-4309,1.4,1.6,Q3,,,,,,,,
Remote Sensing Letters,REMOTE SENS LETT,2150-704X,2150-7058,1.4,1.9,Q3,,,,,,,,
Scandinavian Journal of Child and Adolescent Psychiatry and Psychology,SCAND J CHILD ADOLES,2245-8875,2245-8875,1.4,1.8,Q3,,,,,,,,
SOCIETY,SOCIETY,0147-2011,1936-4725,1.4,0.9,Q2,,,,,,,,
WILDERNESS & ENVIRONMENTAL MEDICINE,WILD ENVIRON MED,1080-6032,1545-1534,1.4,1.6,Q3,,,,,,,,
BIOCHEMICAL SYSTEMATICS AND ECOLOGY,BIOCHEM SYST ECOL,0305-1978,1873-2925,1.4,1.4,Q4,,,,,,,,
Brazilian Journal of Botany,BRAZ J BOT,0100-8404,1806-9959,1.4,1.5,Q3,,,,,,,,
Chemistry of Heterocyclic Compounds,CHEM HETEROCYCL COM+,0009-3122,1573-8353,1.4,1.2,Q3,,,,,,,,
Earthquakes and Structures,EARTHQ STRUCT,2092-7614,2092-7622,1.4,1.5,Q3,,,,,,,,
EJVES Vascular Forum,EJVES VASC FORUM,2666-688X,2666-688X,1.4,N/A,Q3,,,,,,,,
Genetics Research,GENET RES,0016-6723,1469-5073,1.4,1.5,Q4,,,,,,,,
INDIAN JOURNAL OF PHARMACOLOGY,INDIAN J PHARMACOL,0253-7613,1998-3751,1.4,1.7,Q4,,,,,,,,
INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS,INT J ARTIF ORGANS,0391-3988,1724-6040,1.4,1.5,Q3,,,,,,,,
INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,INT J TECHNOL MANAGE,0267-5730,1741-5276,1.4,1.7,Q3,,,,,,,,
JOURNAL OF CONSUMER POLICY,J CONSUM POLICY,0168-7034,1573-0700,1.4,2,Q3,,,,,,,,
Journal of Consumer Protection and Food Safety,J CONSUM PROT FOOD S,1661-5751,1661-5867,1.4,1.7,Q4,,,,,,,,
Journal of Osteopathic Medicine,J OSTEOPATH MED,N/A,2702-3648,1.4,1.4,Q2,,,,,,,,
Journal of the British Blockchain Association,J BRIT BLOCKCHAIN AS,N/A,2516-3957,1.4,1.9,Q3,,,,,,,,
New Review of Hypermedia and Multimedia,NEW REV HYPERMEDIA M,1361-4568,1740-7842,1.4,1.7,Q3,,,,,,,,
Oxford Development Studies,OXF DEV STUD,1360-0818,1469-9966,1.4,1.9,Q3,,,,,,,,
PHOSPHORUS SULFUR AND SILICON AND THE RELATED ELEMENTS,PHOSPHORUS SULFUR,1042-6507,1563-5325,1.4,1.2,Q3,,,,,,,,
Postepy Dermatologii i Alergologii,POSTEP DERM ALERGOL,1642-395X,2299-0046,1.4,1.7,Q3,,,,,,,,
Trends in Anaesthesia and Critical Care,TRENDS ANAESTH CRIT,2210-8440,2210-8467,1.4,0.9,Q3,,,,,,,,
ADVANCED ROBOTICS,ADV ROBOTICS,0169-1864,1568-5535,1.4,2.2,Q4,,,,,,,,
Archives of Environmental & Occupational Health,ARCH ENVIRON OCCUP H,1933-8244,2154-4700,1.4,1.7,Q3,,,,,,,,
Central European Journal of Operations Research,CENT EUR J OPER RES,1435-246X,1613-9178,1.4,1.8,Q3,,,,,,,,
IET Radar Sonar and Navigation,IET RADAR SONAR NAV,1751-8784,1751-8792,1.4,1.5,Q4,,,,,,,,
International Journal of Central Banking,INT J CENT BANK,1815-4654,1815-7556,1.4,1.9,Q3,,,,,,,,
JOURNAL OF AFRICAN ECONOMIES,J AFR ECON,0963-8024,1464-3723,1.4,1.7,Q3,,,,,,,,
Journal of Lasers in Medical Sciences,J LASERS MED SCI,2008-9783,2228-6721,1.4,1.8,Q3,,,,,,,,
Journal of Sensors,J SENSORS,1687-725X,1687-7268,1.4,1.7,Q3,,"2024,论文工厂、中国作者占比畸高",,,,,,
Minerva Orthopedics,MINERVA ORTHOP,2784-8469,2784-871X,1.4,1.4,Q3,,,,,,,,
MOLECULAR AND BIOCHEMICAL PARASITOLOGY,MOL BIOCHEM PARASIT,0166-6851,1872-9428,1.4,1.6,Q3,,,,,,,,
Organics,ORGANICS,N/A,2673-401X,1.4,1.5,Q3,,,,,,,,
American Health and Drug Benefits,AM HEALTH DRUG BENEF,1942-2962,1942-2970,1.4,2.7,Q4,,,,,,,,
ARCHIVAL SCIENCE,ARCH SCI-NETHERLANDS,1389-0166,1573-7500,1.4,1.8,Q2,,,,,,,,
Contemporary Clinical Trials Communications,CONT CLIN TRIAL COMM,N/A,2451-8654,1.4,1.8,Q4,,,,,,,,
Journal of Infection in Developing Countries,J INFECT DEV COUNTR,1972-2680,1972-2680,1.4,1.5,Q4,,,,,,,,
JOURNAL OF REGULATORY ECONOMICS,J REGUL ECON,0922-680X,1573-0468,1.4,1.6,Q3,,,,,,,,
Journal of Scleroderma and Related Disorders,J SCLERODERMA RELAT,2397-1983,2397-1991,1.4,2,Q3,,,,,,,,
PROTEIN EXPRESSION AND PURIFICATION,PROTEIN EXPRES PURIF,1046-5928,1096-0279,1.4,1.4,Q4,,,,,,,,
Reviews on Recent Clinical Trials,REV RECENT CLIN TRIA,1574-8871,1876-1038,1.4,1.5,Q4,,,,,,,,
TRANSFUSION AND APHERESIS SCIENCE,TRANSFUS APHER SCI,1473-0502,1878-1683,1.4,1.4,Q4,,,,,,,,
Canadian Journal of Human Sexuality,CAN J HUM SEX,1188-4517,2291-7063,1.4,1.5,Q3,,,,,,,,
GEOGRAPHY,GEOGRAPHY,0016-7487,2043-6564,1.4,1.1,Q2,,,,,,,,
Indian Geotechnical Journal,INDIAN GEOTECH J,0971-9555,2277-3347,1.4,1.5,Q3,,,,,,,,
International Journal of Prognostics and Health Management,INT J PROGN HEALTH M,2153-2648,2153-2648,1.4,1.7,Q3,,,,,,,,
JOURNAL OF GENETICS,J GENET,0022-1333,0973-7731,1.4,1.3,Q4,,,,,,,,
